,c,cpp,c_sharp,go,java,javascript,python,ruby,scala,typescript
c,1.0000000000000002,0.9491896956059076,0.8714740543736855,0.8138190131816296,0.8838676408361035,0.6472804607490075,0.8576565208686543,0.7339990983315162,0.8947794394086511,0.6612036854282947
cpp,0.9491896956059076,1.0000000000000004,0.822517058174441,0.8249592190217994,0.8417227456306164,0.6280388177081637,0.8176605604468016,0.7149424270775551,0.8616954930894051,0.634627012595774
c_sharp,0.8714740543736855,0.822517058174441,0.9999999999999997,0.7411802079108231,0.887927879112157,0.6406525186041893,0.890663448333405,0.75907410888181,0.869547034405799,0.6386160306324876
go,0.8138190131816296,0.8249592190217994,0.7411802079108231,1.0000000000000002,0.7689004478404199,0.5584883483341273,0.7402095148698942,0.6496928979621023,0.772701579172804,0.5689218739495341
java,0.8838676408361035,0.8417227456306164,0.887927879112157,0.7689004478404199,0.999999999999999,0.6288512290844147,0.8800410313571949,0.7607062168141359,0.8925290499350484,0.6464094163982544
javascript,0.6472804607490075,0.6280388177081637,0.6406525186041893,0.5584883483341273,0.6288512290844147,1.0000000000000002,0.6598713956306291,0.5687302436230547,0.7044957727008596,0.9649854867936365
python,0.8576565208686543,0.8176605604468016,0.890663448333405,0.7402095148698942,0.8800410313571949,0.6598713956306291,0.9999999999999992,0.8799265512052301,0.8681514292529365,0.6535078189445446
ruby,0.7339990983315162,0.7149424270775551,0.75907410888181,0.6496928979621023,0.7607062168141359,0.5687302436230547,0.8799265512052301,0.9999999999999994,0.730295619734391,0.56553580172471
scala,0.8947794394086511,0.8616954930894051,0.869547034405799,0.772701579172804,0.8925290499350484,0.7044957727008596,0.8681514292529365,0.730295619734391,1.0,0.7181771220939606
typescript,0.6612036854282947,0.634627012595774,0.6386160306324876,0.5689218739495341,0.6464094163982544,0.9649854867936365,0.6535078189445446,0.56553580172471,0.7181771220939606,1.000000000000001
